K,Davies-Bouldin Score,Calinski-Harabasz Score,Silhouette Score
4,1.3991756803995254,21.66371600324348,0.07771933975761601
5,1.347139341392892,59.305841390604115,0.14912457997417253
6,1.2227296820283333,70.20568214521829,0.16105272978591847
7,1.1037268233150994,70.99889933536328,0.1669836478340275
8,0.9637388426784255,81.53659630206059,0.2515146211856525
9,1.05844487310846,78.42129621192612,0.15408399190592567
10,0.9619325459188269,74.7405327504784,0.1520139081980641
11,0.8424893145564908,74.4511822722447,0.14938178986173045
12,1.0773600781513446,54.84559548350167,0.0732322483209429
13,0.97996094391703,59.69677994545276,0.12790895863387572
14,0.9511726756197003,89.90784573875194,0.24299874601493582
15,0.8933920011724655,89.31684076986808,0.24999617663677332
16,0.9675194020623008,63.55842683811388,0.02057945046209158
17,0.9296923917921445,62.50289736481061,0.015426298201642144
18,0.9244309659129536,61.63876739430507,0.0183691489476707
19,1.0129919362515931,57.86973010972772,-0.016827137580057154
20,0.9480076448327669,57.44252059130641,-0.008861997744341103
21,0.8163991088513386,66.01829142086729,0.057067999128645984
22,0.7451512766291604,64.36599887003581,0.055151407278315724
23,0.7084385804259531,63.312445634273466,0.07618557911334148
24,0.6559422734970557,61.16349355417078,0.0733977964470511
25,0.732333317820547,59.622392921808945,0.06577463847299869
26,0.6880230796211595,57.63486481883849,0.060528175981317454
27,0.7106918585248941,57.325105302020425,0.0339133793665433
28,0.7422668315961072,55.7110347815354,0.02216982205682306
29,0.7405316714368667,54.435637102391,0.025273120044741127
30,0.606318998469198,67.59019227600426,0.033778566490247804
