K,Davies-Bouldin Score,Calinski-Harabasz Score,Silhouette Score
4,0.8197564777104691,95.81432836726061,0.3975754619009131
5,0.9081072419718937,99.76538750099297,0.43834465749854346
6,0.8168260403310584,113.0032075929873,0.451250909177116
7,0.759583584889995,122.82883956192728,0.45731838800752156
8,0.7831203997827766,129.4118701848481,0.470813121760053
9,0.7470940583048377,137.63837658100994,0.4557037456536218
10,0.6812723318487591,136.94093607462764,0.4535523193351355
11,0.5873436654018837,146.41731781230885,0.45092020099880187
12,0.6962202062665588,136.61357553380148,0.4409987431598298
13,0.6735009793800314,144.54320688810085,0.45445051606889136
14,0.6832241942090269,149.3232194560137,0.4303736699343022
15,0.6433067518558371,154.99781839717662,0.43472880469858305
16,0.6933897221839253,149.31206196548845,0.4321754826380386
17,0.6716879872007323,156.56050042384572,0.4270223303775892
18,0.6807601393543976,165.82181579016344,0.42996518112361776
19,0.7398168434438978,169.78915653727117,0.4158451209077272
20,0.6741506000451162,185.18077364704882,0.42445859374023903
21,0.5611326978184429,177.78960724017878,0.39222300118554515
22,0.4990755539803786,182.01408732678863,0.3903064093352149
23,0.5050822643804128,182.2272324126661,0.39392888076068194
24,0.46105913728674625,181.7365972167471,0.3911410980943916
25,0.4784162765256539,194.78332737857028,0.3851284710963147
26,0.43370631824923367,194.60204543770269,0.3798820086046335
27,0.48595735258751005,196.06669137266675,0.336819758708506
28,0.4673460746448176,198.27581617708194,0.3326121857599727
29,0.47525006776283424,204.36522592845213,0.33510336410252956
30,0.4871897780943431,217.32991884017784,0.34649626394498134
