DESCRIPTION1,DESCRIPTION2,DESCRIPTION3,ID,SHM_KRN,SHM_HEVRA_MENAHELET,TAARICH_HAFAKAT_HADOCH,SUG_KRN,SHM_TAAGID_SHOLET,SUG_TAAGID_SHOLET,MI_TKUFAT_DIVUACH,AD_TKUFAT_DIVUACH,HAFKADOT_LLO_HAAVAROT,MSHICHOT_LLO_HAAVAROT,HAAVAROT_BEIN_HAKRANOT,TZVIRA_NETO,YITRAT_NCHASIM_LSOF_TKUFA,SHIUR_DMEI_NIHUL_AHARON,TSUA_MEMUZAAT_LETKUFA,TSUA_MITZTABERET_LETKUFA,TSUA_MEMUZAAT_36_HODASHIM,TSUA_MEMUZAAT_60_HODASHIM,TSUA_MITZTABERET_36_HODASHIM,TSUA_MITZTABERET_60_HODASHIM,TSUA_SHNATIT_MEMUZAAT_3_SHANIM,TSUA_SHNATIT_MEMUZAAT_5_SHANIM,STIAT_TEKEN_36_HODASHIM,STIAT_TEKEN_60_HODASHIM,MATZAV_DIVUACH,ALPHA_SHNATI,BETA_TA100,BETA_AGACH_KONTZERNIOT_TZMUDOT,BETA_AGACH_MEM_LO_TZMUDOT,BETA_AGACH_MEMSHALTIOT_TZMUDOT,BETA_HUTZ_LAARETZ,R_SQUARED,SHARP_TSUA_HETZYONIT_ANAF,SHARP_TSUA_HETZYONIT_ALL,SHARP_RIBIT_HASRAT_SIKUN,YAHAS_NEZILUT,SHIUR_D_NIHUL_AHARON_HAFKADOT,SHIUR_D_NIHUL_AHARON_NCHASIM,ODEF_GIRAON_ACTUARI_AHARON,YR_ODEF_GIRAON_ACTUARI_AHARON,ODEF_GIRAON_ACTUARI_LETKUFA,TSUA_MEMUZAT_HASHKAOT_HOFSHIOT,NUM_HEVRA,TAARICH_SIUM_PEILUT,ID_MASLUL_RISHUY
₪ כל הסכומים במיליוני,כל התשואות הינן פיננסיות נומינליות ברוטו,תשואת קרן פנסיה לא מוצגת החל מינואר 2017,12177,כלל פנסיה מסלול בסיסי למקבלי קצבה,"כלל פנסיה וגמל בע""מ",19/12/2024,קרנות חדשות,אחר,אחר,202312,202411,0,861.45,2269.54,1408.09,8651.21,,0.84,10.5,0.61,0.6,24.34,42.82,7.53,7.39,0.58,0.93,דווח,3.6,0.11,0.07,-0.18,0.1,0.18,0.87,-0.24,-0.22,1.92,81,,,-0.17,2023,-0.26,1.04,512244146,,12177
₪ כל הסכומים במיליוני,כל התשואות הינן פיננסיות נומינליות ברוטו,תשואת קרן פנסיה לא מוצגת החל מינואר 2017,12419,אלטשולר שחם פנסיה מקיפה מניות,"אלטשולר שחם גמל ופנסיה בע""מ",19/12/2024,קרנות חדשות,"אלטשולר שחם פיננסים בע""מ",ישראלית,202312,202411,284.88,31.19,-514.55,-260.86,3305.91,,1.68,22.12,0.51,0.69,20.21,51.25,6.33,8.63,2.91,3.79,דווח,0,0.48,0.11,0.11,-0.06,0.87,0.87,0.29,0.3,0.68,90.6,,,0.26,2023,0.17,2.15,513173393,,12419
₪ כל הסכומים במיליוני,כל התשואות הינן פיננסיות נומינליות ברוטו,תשואת קרן פנסיה לא מוצגת החל מינואר 2017,12966,מיטב פנסיה מקיפה הלכה למקבלי קצבה,"מיטב גמל ופנסיה בע""מ",19/12/2024,קרנות חדשות,"מיטב דש השקעות בע""מ",ישראלית,202312,202411,0,3.17,13.52,10.35,54.58,,0.91,11.49,0.59,,23.68,,7.34,,0.81,,דווח,,,,,,,,,,,93.7,,,0.03,2023,-0.06,1.21,512065202,,12966
₪ כל הסכומים במיליוני,כל התשואות הינן פיננסיות נומינליות ברוטו,תשואת קרן פנסיה לא מוצגת החל מינואר 2017,13213,כלל פנסיה כספי (שקלי),"כלל פנסיה וגמל בע""מ",19/12/2024,קרנות חדשות,אחר,אחר,202312,202411,9.55,21.61,6.59,-5.47,147.67,,0.46,5.69,0.39,,15.12,,4.81,,0.16,,דווח,,,,,,,,,,,90.4,,,-0.17,2023,-0.26,0.38,512244146,,13213
₪ כל הסכומים במיליוני,כל התשואות הינן פיננסיות נומינליות ברוטו,תשואת קרן פנסיה לא מוצגת החל מינואר 2017,13260,מיטב פנסיה מקיפה עוקב מדד S&P500,"מיטב גמל ופנסיה בע""מ",19/12/2024,קרנות חדשות,"מיטב דש השקעות בע""מ",ישראלית,202312,202411,572.17,39.97,1927.03,2459.23,6773.23,,1.79,23.66,1.12,,49.35,,14.31,,2.2,,דווח,,,,,,,,,,,95.9,,,0.03,2023,-0.06,2.18,512065202,,13260
₪ כל הסכומים במיליוני,כל התשואות הינן פיננסיות נומינליות ברוטו,תשואת קרן פנסיה לא מוצגת החל מינואר 2017,13303,מנורה מבטחים פנסיה יעד לפרישה 2065,"מנורה מבטחים פנסיה וגמל בע""מ",19/12/2024,קרנות חדשות,"מנורה מבטחים החזקות בע""מ",קבוצות ביטוח,202312,202411,556.46,139.37,44.77,461.86,1405.15,,1.28,16.52,0.55,,21.67,,6.76,,1.92,,דווח,,,,,,,,,,,87.7,,,-0.19,2023,-0.22,1.23,512245812,,13303
₪ כל הסכומים במיליוני,כל התשואות הינן פיננסיות נומינליות ברוטו,תשואת קרן פנסיה לא מוצגת החל מינואר 2017,13335,הפניקס פנסיה מקיפה עוקב מדד S&P500,"הפניקס פנסיה וגמל בע""מ",19/12/2024,קרנות חדשות,"הפניקס אחזקות בע""מ",ישראלית,202312,202411,1894.36,75.27,4970.95,6790.04,18186.72,,1.83,24.25,1.14,,50.63,,14.63,,2.3,,דווח,,,,,,,,,,,95.8,,,-0.13,2023,-0.21,1.97,513026484,,13335
₪ כל הסכומים במיליוני,כל התשואות הינן פיננסיות נומינליות ברוטו,תשואת קרן פנסיה לא מוצגת החל מינואר 2017,13347,כלל פנסיה עוקב מדד s&p 500,"כלל פנסיה וגמל בע""מ",19/12/2024,קרנות חדשות,אחר,אחר,202312,202411,888.44,208.14,5876.62,6556.92,12337.98,,1.84,24.49,1.12,,49.23,,14.28,,2.3,,דווח,,,,,,,,,,,95.8,,,-0.17,2023,-0.26,2.22,512244146,,13347
₪ כל הסכומים במיליוני,כל התשואות הינן פיננסיות נומינליות ברוטו,תשואת קרן פנסיה לא מוצגת החל מינואר 2017,13349,"מנורה מבטחים פנסיה אשראי ואג""ח","מנורה מבטחים פנסיה וגמל בע""מ",19/12/2024,קרנות חדשות,"מנורה מבטחים החזקות בע""מ",קבוצות ביטוח,202312,202411,25.58,10.91,90.72,105.39,365.18,,0.75,9.45,0.58,,23.2,,7.2,,1.28,,דווח,,,,,,,,,,,89.9,,,-0.19,2023,-0.22,0.93,512245812,,13349
₪ כל הסכומים במיליוני,כל התשואות הינן פיננסיות נומינליות ברוטו,תשואת קרן פנסיה לא מוצגת החל מינואר 2017,13350,מנורה מבטחים פנסיה עוקב מדדי מניות,"מנורה מבטחים פנסיה וגמל בע""מ",19/12/2024,קרנות חדשות,"מנורה מבטחים החזקות בע""מ",קבוצות ביטוח,202312,202411,390.77,103.6,2268.77,2555.94,5060.7,,1.33,17.21,0.82,,34.13,,10.28,,1.99,,דווח,,,,,,,,,,,97.5,,,-0.19,2023,-0.22,1.71,512245812,,13350
